Dataname,Value,Time
bed_temp,16.7,2025-08-29 09:15:54.321082
current,0.07,2025-08-29 09:15:54.321082
power,2,2025-08-29 09:15:54.321082
voltage,122.99,2025-08-29 09:15:54.321082
filament_temp,18.9,2025-08-29 09:15:54.821328
bed_temp,16.7,2025-08-29 09:15:54.821328
current,0.07,2025-08-29 09:15:54.821328
power,2,2025-08-29 09:15:54.821328
voltage,122.99,2025-08-29 09:15:54.821328
filament_temp,18.9,2025-08-29 09:15:55.321569
bed_temp,16.7,2025-08-29 09:15:55.321569
current,0.07,2025-08-29 09:15:55.321569
power,2,2025-08-29 09:15:55.321569
voltage,122.99,2025-08-29 09:15:55.321569
filament_temp,18.9,2025-08-29 09:15:55.821804
bed_temp,16.7,2025-08-29 09:15:55.821804
current,0.07,2025-08-29 09:15:55.821804
power,2,2025-08-29 09:15:55.821804
voltage,122.99,2025-08-29 09:15:55.821804
filament_temp,18.9,2025-08-29 09:15:56.322047
bed_temp,16.7,2025-08-29 09:15:56.322047
current,0.07,2025-08-29 09:15:56.322047
power,2,2025-08-29 09:15:56.322047
voltage,122.99,2025-08-29 09:15:56.322047
filament_temp,18.9,2025-08-29 09:15:56.822294
bed_temp,16.7,2025-08-29 09:15:56.822294
current,0.07,2025-08-29 09:15:56.822294
power,2,2025-08-29 09:15:56.822294
voltage,122.99,2025-08-29 09:15:56.822294
filament_temp,18.9,2025-08-29 09:15:57.322541
bed_temp,16.7,2025-08-29 09:15:57.322541
current,0.07,2025-08-29 09:15:57.322541
power,2,2025-08-29 09:15:57.322541
voltage,122.99,2025-08-29 09:15:57.322541
filament_temp,18.2,2025-08-29 09:15:57.822774
bed_temp,16.4,2025-08-29 09:15:57.822774
current,0.07,2025-08-29 09:15:57.822774
power,2,2025-08-29 09:15:57.822774
voltage,122.99,2025-08-29 09:15:57.822774
filament_temp,18.2,2025-08-29 09:15:58.322983
bed_temp,16.4,2025-08-29 09:15:58.322983
current,0.07,2025-08-29 09:15:58.322983
power,2,2025-08-29 09:15:58.322983
